gene,mean_real,mean_virtual,logFC_virtual_vs_real,pearson_r
Ccl3,0.037902344,0.00045145449,-0.036750346,
Ccl4,0.13501972,0.00068071624,-0.12596953,
Wfdc17,0.09615377,0.0003421825,-0.09146536,
Appbp2,0.1400893,0.0004150443,-0.13069165,
Rnf43,0.048496917,0.00035872986,-0.046998966,
Tspoap1,0.04157308,0.00032138647,-0.040410813,
Vezf1,0.30378824,0.0004744818,-0.2647997,
Scpep1,0.052801102,0.00038092452,-0.051073477,
Mmd,0.00921073,0.00047455504,-0.008694127,
Tob1,0.042560488,0.000440573,-0.04123922,
Kat7,0.07016589,0.00044084725,-0.067372926,
Spop,0.3710246,0.0005262243,-0.31503224,
Gngt2,0.36913553,0.00053006795,-0.31364962,
Ube2z,0.17125505,0.00053856114,-0.15753746,
Nfe2l1,0.10490767,0.00047056846,-0.09929132,
Mrpl10,0.13308445,0.00031686106,-0.1246267,
Tbx21,0.099890694,0.0004938796,-0.09471705,
Lasp1,0.23372194,0.0004107729,-0.20962487,
Arl5c,0.37693936,0.0006446422,-0.31921872,
Fbxl20,0.08406285,0.0004535714,-0.080262415,
Rara,0.182657,0.00055961276,-0.16720416,
Top2a,0.032193393,0.0003839125,-0.031302206,
Igfbp4,0.55561554,0.0010482019,-0.44082367,
Dhx58,0.112016164,0.0005321242,-0.10564275,
Stat5b,0.21428712,0.0003821775,-0.19377507,
Atp6v0a1,0.051944718,0.00034613785,-0.05029448,
Arl4d,0.051327895,0.00035039644,-0.049703695,
Dhx8,0.1165768,0.00045714466,-0.10981053,
Dusp3,0.075306065,0.00032392415,-0.072281465,
Grn,0.12527622,0.0005089318,-0.11751974,
Ccdc43,0.05039951,0.0003916049,-0.048779048,
Adam11,0.0721943,0.00046178495,-0.06924562,
Itgb3,0.049998187,0.00049593335,-0.04829263,
1700052K11Rik,0.05540295,0.0003631539,-0.05355955,
Cd79b,0.37214884,0.0007641054,-0.3156142,
Pecam1,0.23657931,0.0006178503,-0.2117313,
Prkca,0.2416201,0.0005281322,-0.21588907,
Cd300a,0.0825437,0.0003468247,-0.07896678,
Cd300ld,0.056853294,0.00041361112,-0.054882377,
Cd300c2,0.02276421,0.00036845493,-0.022140585,
Cd300lf,0.052105676,0.00037011554,-0.050423514,
Nup85,0.08806607,0.0003139518,-0.08408797,
